item_id,source_type,title,source_url,license_or_terms,local_path,status,size_bytes,notes
asset_apple_video,repo_asset,Official apple demo video,https://github.com/facebookresearch/co-tracker/raw/refs/heads/main/assets/apple.mp4,Official repository asset,project_data/raw_videos/official_assets/apple.mp4,already_present,1219872,Smoke-test video copied from the CoTracker repository assets folder.
asset_apple_mask,repo_asset,Official apple demo mask,https://github.com/facebookresearch/co-tracker/raw/refs/heads/main/assets/apple_mask.png,Official repository asset,project_data/raw_videos/official_assets/apple_mask.png,copied,14581,Reference mask image that accompanies the apple demo asset.
asset_bmx_bumps_gif,repo_asset,Official BMX bumps demo GIF,https://github.com/facebookresearch/co-tracker/raw/refs/heads/main/assets/bmx-bumps.gif,Official repository asset,project_data/raw_videos/official_assets/bmx-bumps.gif,already_present,7670915,Animated demo clip copied from the CoTracker repository assets folder.
tapvid_davis_benchmark,benchmark,TAP-Vid DAVIS benchmark,https://github.com/google-deepmind/tapnet,See datasets/tapvid_davis/SOURCES.md,datasets/tapvid_davis/tapvid_davis.pkl,verified_present,2481403560,Benchmark file already downloaded for online and offline DAVIS evaluation.
cotracker3_kubric_readme,cotracker_dataset,CoTracker3_Kubric dataset card,https://huggingface.co/datasets/facebook/CoTracker3_Kubric,Apache-2.0,project_data/kubric_cache/CoTracker3_Kubric_README.md,downloaded,2230,Dataset card copied locally for reproducibility and citation notes.
cotracker3_kubric_shard_0000,cotracker_dataset,CoTracker3_Kubric shard 0000,https://huggingface.co/datasets/facebook/CoTracker3_Kubric,Apache-2.0,project_data/kubric_cache/0000.tar.gz,already_present,307317320,"One official dataset shard downloaded and extracted to project_data/raw_videos/kubric_sample/0000. The shard contains annotations, trajectories, depths, and metadata rather than a ready-made MP4 clip. Extraction status: already_extracted."
ia_design_for_dreaming,internet_archive,Design for Dreaming,https://archive.org/details/Designfo1956,http://creativecommons.org/licenses/publicdomain/,project_data/raw_videos/internet_archive/Designfo1956_512kb.mp4,downloaded,39499240,Internet Archive identifier: Designfo1956.
ia_willie_shoemaker,internet_archive,[Willie Shoemaker at Golden Gate Fields],https://archive.org/details/WillieSh1950,http://creativecommons.org/licenses/publicdomain/,project_data/raw_videos/internet_archive/WillieSh1950_512kb.mp4,downloaded,2482947,Internet Archive identifier: WillieSh1950.
ia_tip_tops_in_peppyland,internet_archive,"Tip-Tops in Peppyland, The",https://archive.org/details/TipTopsi1934,http://creativecommons.org/licenses/publicdomain/,project_data/raw_videos/internet_archive/TipTopsi1934_512kb.mp4,downloaded,45575449,Internet Archive identifier: TipTopsi1934.
ia_trading_centers,internet_archive,Trading Centers of the Pacific Coast,https://archive.org/details/TradingC1947,http://creativecommons.org/licenses/publicdomain/,project_data/raw_videos/internet_archive/TradingC1947_512kb.mp4,downloaded,45399892,Internet Archive identifier: TradingC1947.
ia_street_of_memory,internet_archive,Street of Memory,https://archive.org/details/Streetof1937,http://creativecommons.org/licenses/publicdomain/,project_data/raw_videos/internet_archive/Streetof1937_512kb.mp4,downloaded,37126755,Internet Archive identifier: Streetof1937.
ia_aurora_drag_race,internet_archive,Aurora Stunt and Drag Race Set Commercial,https://archive.org/details/aurora_drag_race_set,http://creativecommons.org/licenses/publicdomain/,project_data/raw_videos/internet_archive/aurora_drag_race_set_512kb.mp4,downloaded,4304452,Internet Archive identifier: aurora_drag_race_set.
ia_park_conscious,internet_archive,Park Conscious,https://archive.org/details/ParkCons1938,http://creativecommons.org/licenses/publicdomain/,project_data/raw_videos/internet_archive/ParkCons1938_512kb.mp4,downloaded,33376894,Internet Archive identifier: ParkCons1938.
ia_case_of_spring_fever,internet_archive,"Case of Spring Fever, A",https://archive.org/details/CaseofSp1940,http://creativecommons.org/licenses/publicdomain/,project_data/raw_videos/internet_archive/CaseofSp1940_512kb.mp4,downloaded,35121606,Internet Archive identifier: CaseofSp1940.
ia_122_eyes,internet_archive,122 Eyes,https://archive.org/details/122Eyes1950,http://creativecommons.org/licenses/publicdomain/,project_data/raw_videos/internet_archive/122Eyes1950_512kb.mp4,downloaded,38874589,Internet Archive identifier: 122Eyes1950.
ia_sleep_for_health,internet_archive,Sleep for Health,https://archive.org/details/Sleepfor1950,http://creativecommons.org/licenses/publicdomain/,project_data/raw_videos/internet_archive/Sleepfor1950_512kb.mp4,downloaded,45590108,Internet Archive identifier: Sleepfor1950.
